管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第１方面隊中島分団,6月6日,,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,こんろ,晴,19,99,発令無,無風状態,0,
第１方面隊金池分団,4月13日,霜,,,,,,,,,,1,火元,部分焼,耐火建築物,1,,建物火災,その他,晴,18,29,発令無,西南西,1,
第３方面隊戸次分団,4月13日,乾燥,霜,注意報,,,,,,,,,,,,,,その他の火災,火あそび,快晴,15,42,発令無,北西,3,
第４方面隊稙田西部分団,6月25日,,,,,,,,,,,,,,,,,その他の火災,たき火,雨,22,74,発令無,南西,2,
第１方面隊滝尾分団,6月4日,,,,,,,,,,,,,,,,,その他の火災,たき火,曇,25,69,発令無,東,4,
第４方面隊東稙田分団,5月13日,乾燥,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,22,60,発令無,北北西,5,
第４方面隊東稙田分団,5月27日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,18,52,発令無,北西,4,
第１方面隊東大分分団,5月15日,,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,22,84,発令無,北西,2,
第１方面隊南大分分団,6月10日,波浪,,,,,,,,,,1,火元,ぼや,木造建築物,,,建物火災,火あそび,雨,20,82,発令無,南,2,
第４方面隊東稙田分団,7月8日,強風,雷,波浪,,,洪水,大雨,,,,1,火元,半焼,木造建築物,3,,建物火災,火あそび,雨,23,98,発令無,東,4,
,4月20日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,曇,15,78,発令無,北西,2,
第４方面隊賀来分団,5月28日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,1,建物火災,たばこ,晴,19,40,発令無,西,1,
第１方面隊春日分団,8月10日,注意報,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,たばこ,晴,30,68,発令無,南南東,2,
第５方面隊大在東分団,6月19日,強風,洪水,大雨,雷,波浪,,,,,,1,火元,ぼや,耐火建築物,,1,建物火災,放火,曇,22,89,発令無,北西,1,
第２方面隊明治分団,5月13日,乾燥,,,,,,,,,,1,火元,全焼,その他の建築物,3,,建物火災,たき火,晴,25,37,発令無,北,4,
第６方面隊丹生分団,6月11日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,曇,25,61,発令無,北西,3,
,4月14日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,その他,晴,17,33,発令無,北北西,1,0
第４方面隊東稙田分団,5月19日,波浪,注意報,,,,,,,,,,,,,,,その他の火災,放火,晴,21,67,発令無,北北西,1,
第４方面隊東稙田分団,6月11日,波浪,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,電気機器,曇,21,85,発令無,北西,1,
第１方面隊金池分団,4月22日,,,,,,,,,,,1,火元,ぼや,耐火建築物,1,,建物火災,こんろ,晴,17,54,発令無,北西,2,
第１方面隊桃園分団,6月15日,,,,,,,,,,,1,火元,ぼや,木造建築物,,,建物火災,こんろ,曇,19,80,発令無,南,2,
第４方面隊賀来分団,5月18日,乾燥,,,,,,,,,,1,火元,全焼,その他の建築物,12,,建物火災,たき火,晴,19,47,発令無,北北東,3,
第４方面隊東稙田分団,8月11日,雷,波浪,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,こんろ,曇,29,77,発令無,東,1,
第４方面隊稙田東部分団,5月30日,乾燥,,,,,,,,,,1,火元,部分焼,防火構造建築物,12,,建物火災,放火,晴,18,62,発令無,北北西,2,
,4月15日,乾燥,波浪,注意報,,,,,,,,,,,,,,その他の火災,,晴,11,50,発令無,西南西,1,
第５方面隊大在西分団,6月25日,大雨,濃霧,注意報,,,,,,,,,,,,,,その他の火災,電灯・電話等の配線,雨,20,96,発令無,東北東,2,
第２方面隊高田分団,7月18日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,27,88,発令無,無風状態,0,
,5月21日,,,,,,,,,,,,,,,,,船舶火災,電気機器,晴,23,999,発令無,東,3,
第３方面隊戸次分団,4月25日,強風,雷,波浪,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,取灰,晴,21,68,発令無,南南東,3,
第２方面隊高田分団,8月13日,雷,波浪,注意報,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,火あそび,晴,34,53,発令無,南東,4,
第１方面隊南大分分団,6月5日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,たばこ,晴,24,49,発令無,東北東,2,
第８方面隊野津原東部分団,6月27日,大雨,注意報,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,35,,建物火災,不明・調査中,雨,21,82,発令無,南東,2,
第３方面隊戸次分団,5月20日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,配線器具,晴,21,75,発令無,東北東,2,0
第４方面隊賀来分団,6月16日,,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,25,64,発令無,北,1,
第８方面隊野津原東部分団,5月19日,乾燥,,,,,,,,,,,,,,,,その他の火災,放火,晴,23,40,発令無,北,2,
第１方面隊桃園分団,4月17日,乾燥,霜,注意報,,,,,,,,,,,,,,車両火災,,晴,12,68,発令無,東南東,2,
第２方面隊川添分団,5月22日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,快晴,21,60,発令無,北西,3,
第１方面隊大道分団,7月19日,雷,,,,,,,,,,,,,,,,その他の火災,その他,快晴,31,59,発令無,東北東,4,
第６方面隊丹生分団,6月27日,,,,,,,,,,,1,建物外,,,,,車両火災,放火,曇,24,68,発令無,南南西,1,
第１方面隊南大分分団,7月1日,濃霧,雷,注意報,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,配線器具,雨,24,87,発令無,南東,2,
第２方面隊明治分団,5月2日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,晴,18,66,発令無,北西,1,
第４方面隊稙田東部分団,6月25日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,電灯・電話等の配線,晴,26,58,発令無,北東,1,
第４方面隊賀来分団,4月18日,強風,波浪,,,,,,,,,1,火元,半焼,木造建築物,110,,建物火災,不明・調査中,晴,16,70,発令無,北北東,2,
第１方面隊八幡分団,7月24日,雷,,,,,,,,,,,,,,,,その他の火災,たき火,晴,27,82,発令無,南南東,2,
第２方面隊明治分団,5月20日,乾燥,,,,,,,,,,,,,,,,車両火災,衝突の火花,晴,21,46,発令無,北北西,2,
第１方面隊滝尾分団,8月15日,,,,,,,,,,,,,,,,,車両火災,その他,雨,29,86,発令無,南東,4,
第６方面隊丹生分団,6月5日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,快晴,27,25,発令無,北北東,2,0
第２方面隊明治分団,5月26日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,27,55,発令無,北西,1,
第６方面隊小佐井分団,8月19日,,,,,,,,,,,1,火元,全焼,木造建築物,77,,建物火災,こんろ,晴,29,60,発令無,南南東,4,0
第４方面隊東稙田分団,5月3日,乾燥,,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,放火,晴,16,81,発令無,無風状態,0,0
第１方面隊中島分団,6月26日,,,,,,,,,,,1,火元,部分焼,耐火建築物,44,,建物火災,たばこ,曇,22,84,発令無,南南東,2,
第１方面隊大道分団,5月27日,,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,かまど,雨,16,74,発令無,西,2,
第４方面隊稙田西部分団,5月29日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,9,,建物火災,火あそび,晴,25,50,発令無,西北西,2,
第５方面隊大在西分団,6月6日,乾燥,,,,,,,,,,1,火元,全焼,防火構造建築物,103,,建物火災,不明・調査中,晴,20,53,発令無,無風状態,0,
第１方面隊大道分団,4月18日,乾燥,強風,波浪,注意報,,,,,,,1,火元,半焼,木造建築物,79,,建物火災,たばこ,晴,17,57,発令無,西,5,
第１方面隊中島分団,7月25日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,溶接機・切断機,曇,28,77,発令無,南,3,
第１方面隊日岡分団,7月2日,濃霧,雷,注意報,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,24,,建物火災,不明・調査中,曇,24,86,発令無,東北東,1,
第５方面隊大在西分団,6月6日,乾燥,,,,,,,,,,2,類焼,ぼや,木造建築物,,,建物火災,不明・調査中,晴,20,53,発令無,無風状態,0,
第６方面隊小佐井分団,8月19日,,,,,,,,,,,2,類焼,ぼや,木造建築物,,0,建物火災,こんろ,晴,29,60,発令無,南南東,4,0
第４方面隊稙田西部分団,5月29日,乾燥,,,,,,,,,,2,類焼,部分焼,準耐火建築物（非木造）,,4,建物火災,火あそび,晴,25,50,発令無,西北西,2,
第４方面隊稙東部分団,7月3日,雷,,,,,洪水,大雨,,,,,,,,,,その他の火災,その他,雷雨,22,74,発令無,南,3,0
第３方面隊戸次分団,5月3日,雷,,,,,,,,,,1,火元,全焼,木造建築物,74,,建物火災,放火の疑い,曇,20,74,発令無,南南東,2,
第８方面隊野津原東部分団,7月1日,,,,,,,,,,,1,火元,半焼,準耐火建築物（非木造）,315,,建物火災,排気管,晴,27,78,発令無,北,1,
第１方面隊南大分分団,6月10日,,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,,2,建物火災,たばこ,曇,19,98,発令無,南南東,1,
第１方面隊金池分団,7月2日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,こんろ,曇,25,81,発令無,無風状態,0,
第１方面隊日岡分団,6月6日,乾燥,,,,,,,,,,1,火元,部分焼,耐火建築物,7,,建物火災,灯火,曇,19,60,発令無,南南東,1,
第３方面隊戸次分団,5月3日,雷,,,,,,,,,,2,類焼,ぼや,木造建築物,,,建物火災,放火の疑い,曇,20,74,発令無,南南東,2,
第８方面隊野津原西部分団,5月31日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,24,52,発令無,北西,3,
第４方面隊東稙田分団,4月20日,乾燥,霜,,,,,,,,,,,,,,,林野火災,火あそび,晴,14,50,発令無,東北東,3,
第４方面隊稙田東部分団,8月22日,,,,,,波浪,警報,,,,,,,,,,林野火災,電灯・電話等の配線,曇,30,73,発令無,東南東,4,
第１方面隊八幡分団,7月8日,雷,,,,,,,,,,,,,,,,その他の火災,たき火,晴,30,58,発令無,西北西,3,
第２方面隊別保分団,7月28日,,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,28,72,発令無,南,3,
第２方面隊松岡分団,6月10日,濃霧,,,,,,,,,,1,火元,全焼,準耐火建築物（非木造）,15,,建物火災,不明・調査中,晴,21,95,発令無,無風状態,0,
第１方面隊金池分団,7月17日,波浪,注意報,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,1,建物火災,電気装置,曇,28,67,発令無,東南東,3,
第６方面隊小佐井分団,5月8日,乾燥,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,その他,晴,26,27,発令無,東北東,5,0
第３方面隊戸次分団,4月25日,乾燥,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,放火,快晴,18,27,発令無,北北東,1,
第１方面隊金池分団,8月25日,強風,波浪,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,その他,晴,29,78,発令無,南,3,
第６方面隊坂ノ市分団,6月6日,乾燥,注意報,,,,,,,,,1,火元,半焼,その他の建築物,123,,建物火災,不明・調査中,晴,21,59,発令無,北,2,
第１方面隊滝尾分団,7月4日,,,,,,,,,,,,,,,,,その他の火災,電灯・電話等の配線,曇,23,73,発令無,北西,2,
第１方面隊中島分団,6月1日,,,,,,,,,,,,,,,,,車両火災,その他,晴,22,41,発令無,南東,1,
第２方面隊高田分団,7月29日,雷,,,,,,,,,,,,,,,,その他の火災,たき火,晴,28,83,発令無,西北西,3,
第６方面隊丹生分団,7月10日,濃霧,注意報,,,,,,,,,,,,,,,その他の火災,火入れ,晴,30,50,発令無,北東,1,
第１方面隊中島分団,7月18日,,,,,,,,,,,1,火元,部分焼,防火構造建築物,,6,建物火災,その他,曇,24,76,発令無,無風状態,0,
第４方面隊稙田西部分団,6月2日,乾燥,,,,,,,,,,1,類焼,部分焼,木造建築物,,2,その他の火災,,晴,22,46,発令無,北,2,
第４方面隊東稙田分団,7月10日,,,,,,,,,,,1,火元,全焼,木造建築物,58,,建物火災,電灯・電話等の配線,晴,32,58,発令無,北,3,
第８方面隊野津原東部分団,6月9日,,,,,,,,,,,1,火元,部分焼,木造建築物,2,,建物火災,風呂かまど,曇,20,94,発令無,南,1,
第４方面隊東稙田分団,7月10日,,,,,,,,,,,2,類焼,部分焼,木造建築物,,7,建物火災,電灯・電話等の配線,晴,32,58,発令無,北,3,
第１方面隊滝尾分団,5月7日,乾燥,,,,,,,,,,,,,,,,その他の火災,焼却炉,晴,25,24,発令無,北西,2,
第４方面隊賀来分団,7月31日,雷,注意報,,,,,,,,,,,,,,,その他の火災,たばこ,晴,31,60,発令無,北西,1,
第１方面隊南大分分団,4月26日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,たき火,快晴,29,16,発令無,南西,4,0
第５方面隊大在東分団,8月27日,,,,,,,,,,,,,,,,,船舶火災,その他,晴,27,87,発令無,南西,1,
第６方面隊小佐井分団,6月12日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,たき火,晴,25,55,発令無,南南東,5,
第４方面隊東稙田分団,7月1日,,,,,,,,,,,,,,,,,その他の火災,放火,晴,28,66,発令無,西北西,1,
第１方面隊南大分分団,6月28日,,,,,,,,,,,1,火元,部分焼,木造建築物,1,,建物火災,こんろ,晴,24,64,発令無,西北西,1,
第１方面隊八幡分団,8月28日,,,,,,,,,,,1,類焼,全焼,木造建築物,60,,建物火災,放火の疑い,晴,29,74,発令無,南南西,2,
第１方面隊南大分分団,5月11日,,,,,,,,,,,1,火元,ぼや,木造建築物,,,建物火災,放火,快晴,27,73,発令無,西,2,
第１方面隊東大分分団,7月24日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,マッチ・ライター,晴,25,74,発令無,南西,1,
第８方面隊野津原東部分団,6月12日,強風,雷,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,215,,建物火災,たき火,霧雨,23,66,発令無,南東,3,
第１方面隊八幡分団,8月28日,,,,,,,,,,,2,火元,全焼,木造建築物,36,,建物火災,放火の疑い,晴,29,74,発令無,南南西,2,
第１方面隊八幡分団,8月28日,,,,,,,,,,,3,類焼,全焼,木造建築物,9,,建物火災,放火の疑い,晴,29,74,発令無,南南西,2,
第３方面隊吉野分団,4月27日,強風,雷,波浪,,,,,,,,,,,,,,その他の火災,排気管,曇,22,52,発令無,西北西,2,
第１方面隊中島分団,8月1日,,,,,,,,,,,,,,,,,車両火災,その他,晴,31,65,発令無,無風状態,0,
第６方面隊丹生分団,7月20日,雷,,,,,,,,,,,,,,,,その他の火災,その他,晴,29,60,発令中,北西,1,
第６方面隊坂ノ市分団,6月2日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,23,44,発令無,北,3,
第２方面隊三佐分団,7月14日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,29,65,発令無,西北西,1,
第４方面隊東稙田分団,7月13日,強風,大雨,雷,波浪,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,こんろ,雨,28,84,発令無,南南東,3,
第２方面隊鶴崎分団,7月16日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,こんろ,晴,29,59,発令無,無風状態,,
第１方面隊大道分団,5月18日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,配線器具,晴,21,51,発令無,北西,1,
第１方面隊中島分団,7月24日,,,,,,,,,,,1,火元,ぼや,その他の建築物,,0,建物火災,排気管,晴,30,63,発令無,無風状態,0,
第４方面隊東稙田分団,4月28日,乾燥,強風,霜,波浪,,,,,,,1,火元,全焼,木造建築物,114,,建物火災,,晴,16,44,発令無,北北西,5,0
第１方面隊桃園分団,7月22日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,1,建物火災,電灯・電話等の配線,晴,27,70,発令無,南,1,
第８方面隊野津原東部分団,6月6日,雷,,,,,,,,,,1,火元,部分焼,準耐火建築物（木造）,,2,建物火災,不明・調査中,雨,19,86,発令無,西北西,1,
第１方面隊中島分団,6月13日,強風,雷,波浪,注意報,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,,雨,19,84,発令無,北北東,3,
第４方面隊東稙田分団,4月28日,乾燥,強風,霜,波浪,,,,,,,2,類焼,全焼,その他の建築物,19,,建物火災,,晴,16,44,発令無,北北西,5,0
第４方面隊東稙田分団,4月28日,乾燥,強風,霜,波浪,,,,,,,3,類焼,ぼや,木造建築物,,1,建物火災,,晴,16,44,発令無,北北西,5,0
第４方面隊東稙田分団,4月28日,乾燥,強風,霜,波浪,,,,,,,4,類焼,ぼや,木造建築物,,1,建物火災,,晴,16,44,発令無,北北西,5,0
第４方面隊東稙田分団,4月28日,乾燥,強風,霜,波浪,,,,,,,5,類焼,ぼや,木造建築物,,1,建物火災,,晴,16,44,発令無,北北西,5,0
第２方面隊高田分団,8月3日,,,,,,,,,,,,,,,,,その他の火災,配線器具,晴,26,85,発令無,南南東,1,
第４方面隊稙田東部分団,8月29日,雷,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,31,67,発令無,北西,4,
第６方面隊坂ノ市分団,7月17日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,0,建物火災,たばこ,曇,24,74,発令無,西北西,5,
第１方面隊春日分団,7月18日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,晴,31,47,発令無,西北西,1,
第２方面隊明治分団,5月20日,乾燥,,,,,,,,,,1,火元,部分焼,耐火建築物,1,,建物火災,たばこ,晴,19,70,発令無,無風状態,0,
第１方面隊大道分団,6月22日,,,,,,,,,,,1,火元,全焼,木造建築物,88,,建物火災,その他,雨,25,67,発令無,南西,5,
第２方面隊川添分団,5月5日,乾燥,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,1,,建物火災,こんろ,曇,21,33,発令無,南南東,3,
第８方面隊野津原東部分団,9月3日,強風,雷,波浪,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,たばこ,曇,28,76,発令無,南南東,4,
第１方面隊春日分団,8月7日,雷,波浪,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,放火,曇,25,81,発令無,南南東,1,0
,7月28日,洪水,大雨,雷,注意報,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,,曇,28,72,発令無,南南西,1,
第２方面隊鶴崎分団,6月7日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,24,51,発令無,北北東,2,
第１方面隊滝尾分団,8月3日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,焼却炉,曇,32,59,発令無,北北東,2,
第１方面隊南大分分団,7月21日,強風,波浪,,,,,,,,,1,火元,部分焼,耐火建築物,6,,建物火災,放火,曇,26,87,発令無,南南東,3,
第２方面隊明治分団,9月8日,雷,,,,,,,,,,1,火元,部分焼,耐火建築物,10,,建物火災,配線器具,雨,21,96,発令無,無風状態,0,
第１方面隊金池分団,6月8日,,,,,,,,,,,1,火元,部分焼,耐火建築物,20,,建物火災,放火の疑い,快晴,19,78,発令無,南南東,1,
第２方面隊明治分団,8月5日,雷,,,,,,,,,,1,類焼,ぼや,準耐火建築物（非木造）,,0,その他の火災,たき火,晴,32,63,発令無,東南東,2,
第１方面隊大道分団,5月21日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,その他,晴,21,59,発令無,南,1,
第１方面隊東大分分団,6月24日,,,,,,,,,,,1,火元,部分焼,耐火建築物,43,1,建物火災,放火,晴,21,84,発令無,南,1,
第６方面隊丹生分団,5月8日,,,,,,,,,,,,,,,,,林野火災,たき火,晴,23,66,発令無,東北東,1,0
第４方面隊稙田東部分団,7月29日,,,,,,,,,,,,,,,,,その他の火災,その他,晴,27,82,発令無,南,3,
第１方面隊金池分団,8月10日,波浪,注意報,,,,,,,,,,,,,,,その他の火災,放火,晴,25,77,発令無,北西,2,
第１方面隊金池分団,7月22日,,,,,,,,,,,,,,,,,その他の火災,不明・調査中,快晴,26,69,発令無,南西,1,
第１方面隊東大分分団,5月24日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,配線器具,雨,19,97,発令無,南,1,
第１方面隊桃園分団,6月29日,,,,,,,,,,,1,火元,全焼,木造建築物,75,,建物火災,電気機器,雨,24,86,発令無,南南東,1,
第１方面隊滝尾分団,6月9日,,,,,,,,,,,1,火元,部分焼,防火構造建築物,,21,建物火災,溶接機・切断機,曇,21,69,発令無,北北西,1,
第１方面隊金池分団,7月25日,波浪,,,,,,,,,,1,火元,部分焼,耐火建築物,8,,建物火災,その他,晴,33,55,発令無,南南東,5,0
第１方面隊滝尾分団,6月9日,,,,,,,,,,,2,類焼,ぼや,防火構造建築物,,,建物火災,溶接機・切断機,曇,21,69,発令無,北北西,1,
第１方面隊金池分団,8月10日,波浪,注意報,,,,,,,,,,,,,,,その他の火災,放火,晴,25,77,発令無,北西,2,
第１方面隊大道分団,5月9日,,,,,,,,,,,,,,,,,車両火災,配線器具,晴,20,74,発令無,東,1,
第２方面隊高田分団,8月8日,,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,32,46,発令無,無風状態,0,
第２方面隊三佐分団,9月17日,,,,,,,,,,,,,,,,,その他の火災,その他,晴,28,69,発令無,北西,1,
第１方面隊東大分分団,7月22日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,31,48,発令無,東北東,3,
第５方面隊大在西分団,8月1日,,,,,,,,,,,,,,,,,その他の火災,放火,曇,25,79,発令無,北東,5,
第１方面隊金池分団,7月2日,洪水,大雨,雷,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,,雨,25,85,発令無,南南東,1,
第３方面隊戸次分団,9月18日,,,,,,,,,,,1,火元,全焼,木造建築物,128,,建物火災,放火,晴,24,92,発令無,無風状態,0,
第８方面隊野津原東部分団,8月3日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,,晴,31,51,発令無,東南東,3,0
第３方面隊判田分団,6月11日,,,,,,,,,,,1,火元,,木造建築物,,,建物火災,こんろ,曇,23,55,発令無,西南西,3,
第５方面隊大在西分団,5月24日,,,,,,,,,,,1,火元,ぼや,防火構造建築物,0,0,建物火災,たばこ,雨,19,97,発令無,西北西,0,
第１方面隊滝尾分団,5月10日,,,,,,,,,,,1,火元,半焼,木造建築物,40,,建物火災,,雨,26,69,発令無,西,2,
第３方面隊戸次分団,9月18日,,,,,,,,,,,2,類焼,ぼや,木造建築物,,1,建物火災,放火,晴,24,92,発令無,無風状態,0,
第３方面隊吉野分団,8月9日,雷,波浪,,,,,,,,,,,,,,,その他の火災,たき火,晴,34,48,発令無,無風状態,0,
第１方面隊南大分分団,7月26日,波浪,,,,,,,,,,,,,,,,車両火災,放火の疑い,晴,27,77,発令無,南東,3,
第２方面隊高田分団,7月24日,雷,注意報,,,,,,,,,,,,,,,その他の火災,たき火,晴,30,59,発令無,西北西,1,
第１方面隊中島分団,8月12日,,,,,,,,,,,,,,,,,その他の火災,放火,晴,24,77,発令無,無風状態,0,
第１方面隊東大分分団,8月14日,,,,,,,,,,,1,火元,部分焼,耐火建築物,10,,建物火災,たばこ,晴,25,81,発令無,南南西,0,
第７方面隊一尺屋分団,6月11日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,放火の疑い,晴,22,59,発令無,南西,2,
第４方面隊東稙田分団,7月23日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,曇,29,64,発令無,東北東,2,
第４方面隊稙田東部分団,5月11日,雷,,,,,,,,,,1,火元,全焼,準耐火建築物（木造）,89,,建物火災,,晴,21,81,発令無,西北西,2,
第１方面隊東大分分団,8月6日,雷,波浪,,,,,,,,,1,火元,全焼,防火構造建築物,161,,建物火災,不明・調査中,晴,29,67,発令無,無風状態,0,
第１方面隊大道分団,7月6日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,,曇,27,69,発令無,北北西,3,
第７方面隊佐賀関上浦分団,9月23日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,その他,曇,21,80,発令無,無風状態,0,0
第８方面隊野津原東部分団,7月29日,雷,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,不明・調査中,晴,28,78,発令無,北西,2,
第２方面隊川添分団,8月10日,,,,,,,,,,,,,,,,,車両火災,その他,晴,32,63,発令無,北西,1,
,5月26日,,,,,,,,,,,,,,,,,その他の火災,炉,晴,20,96,発令無,無風状態,0,
第１方面隊桃園分団,7月31日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,たばこ,快晴,28,84,発令無,無風状態,0,
第４方面隊稙田東部分団,9月30日,雷,,,,,洪水,大雨,暴風,波浪,,1,火元,ぼや,木造建築物,,,建物火災,配線器具,雨,19,100,発令無,北西,5,0
第１方面隊東大分分団,7月21日,,,,,,,,,,,1,火元,部分焼,耐火建築物,1,,建物火災,,晴,27,69,発令無,北,3,
第１方面隊滝尾分団,8月11日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,30,64,発令無,無風状態,0,
第３方面隊判田分団,6月12日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,25,62,発令無,北北西,4,
第１方面隊東大分分団,7月27日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,曇,24,85,発令無,南南東,1,
第１方面隊南大分分団,5月14日,,,,,,,,,,,,,,,,,林野火災,不明・調査中,快晴,23,15,発令無,南西,2,0
第１方面隊滝尾分団,5月27日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,23,44,発令無,北東,2,0
第１方面隊滝尾分団,8月18日,雷,注意報,,,,,,,,,,,,,,,車両火災,排気管,晴,24,82,発令無,南南西,2,
第５方面隊大在東分団,8月8日,雷,,,,,,,,,,,,,,,,その他の火災,放火,晴,30,72,発令無,北東,2,
第６方面隊坂ノ市分団,7月31日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,電気機器,晴,30,68,発令無,無風状態,0,
,8月12日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,雨,28,78,発令無,南西,2,
第３方面隊戸次分団,10月2日,,,,,,,,,,,1,類焼,部分焼,その他の建築物,,2,車両火災,不明・調査中,曇,22,63,発令無,無風状態,0,
第４方面隊稙田東部分団,8月19日,雷,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,曇,28,74,発令無,西北西,3,0
第８方面隊野津原東部分団,5月18日,乾燥,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,衝突の火花,快晴,21,48,発令無,西北西,1,
第８方面隊野津原中部分団,7月27日,,,,,,,,,,,,,,,,,その他の火災,電気装置,晴,27,82,発令無,東南東,1,
,7月21日,雷,注意報,,,,,,,,,,,,,,,その他の火災,溶接機・切断機,晴,31,63,発令無,西北西,5,0
第６方面隊坂ノ市分団,5月28日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,24,47,発令無,北西,1,
第７方面隊本神崎分団,8月11日,乾燥,注意報,,,,,,,,,,,,,,,車両火災,排気管,晴,34,53,発令無,北西,1,
第４方面隊稙田東部分団,6月17日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,24,47,発令無,東北東,1,
