管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第１方面隊滝尾分団,1月12日,乾燥,,,,,,,,,,1,火元,半焼,準耐火建築物（木造）,42,,建物火災,たばこ,晴,3,59,発令無,南南東,1,
第１方面隊金池分団,1月22日,強風,雷,波浪,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,配線器具,曇,12,63,発令無,南,1,
第１方面隊南大分分団,1月11日,,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,12,51,発令無,南西,1,
第２方面隊松岡分団,1月16日,乾燥,大雪,低温,風雪,波浪,,,,,,,,,,,,その他の火災,たき火,晴,1,43,発令無,西北西,6,
第２方面隊高田分団,1月26日,強風,低温,波浪,,,,,,,,,,,,,,その他の火災,放火,晴,11,42,発令無,西北西,5,
第１方面隊大道分団,1月14日,乾燥,強風,低温,波浪,注意報,,,,,,,,,,,,その他の火災,放火の疑い,晴,7,40,発令無,西南西,3,
第８方面隊野津原東部分団,1月30日,乾燥,強風,低温,波浪,,,,,,,,,,,,,その他の火災,たき火,晴,4,53,発令無,西北西,3,
第１方面隊春日分団,1月19日,大雪,風雪,波浪,注意報,,,,,,,1,火元,部分焼,耐火建築物,61,,建物火災,電灯・電話等の配線,晴,2,69,発令無,西南西,2,
第１方面隊大道分団,1月19日,乾燥,強風,波浪,,,,,,,,1,火元,全焼,防火構造建築物,98,,建物火災,たばこ,晴,3,62,発令無,東南東,2,
第１方面隊南大分分団,1月11日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,たばこ,晴,10,66,発令無,北西,2,
第１方面隊大道分団,1月13日,,,,,,,,,,,1,火元,ぼや,耐火建築物,0,1,建物火災,こんろ,晴,8,64,発令無,西北西,6,0
第１方面隊桃園分団,1月18日,乾燥,,,,,,,,,,1,火元,全焼,防火構造建築物,55,,建物火災,不明・調査中,晴,10,61,発令無,西北西,1,
第１方面隊金池分団,1月16日,,,,,,,,,,,1,火元,部分焼,耐火建築物,9,,建物火災,不明・調査中,晴,-2,70,発令無,南南東,2,
第１方面隊大道分団,1月19日,乾燥,強風,波浪,,,,,,,,2,類焼,部分焼,防火構造建築物,,10,建物火災,たばこ,晴,3,62,発令無,東南東,2,
第１方面隊桃園分団,1月18日,乾燥,,,,,,,,,,2,類焼,ぼや,防火構造建築物,,0,建物火災,不明・調査中,晴,10,61,発令無,西北西,1,
第１方面隊大道分団,1月19日,乾燥,強風,波浪,,,,,,,,3,類焼,ぼや,準耐火建築物（木造）,,0,建物火災,たばこ,晴,3,62,発令無,東南東,2,
第１方面隊金池分団,1月19日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,9,43,発令無,北西,4,0
第８方面隊野津原中部分団,1月24日,,,,,,,,,,,,,,,,,林野火災,たき火,晴,11,40,発令無,北,1,0
第８方面隊野津原東部分団,1月31日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,たき火,曇,7,61,発令無,東北東,3,
第８方面隊野津原東部分団,1月26日,強風,低温,波浪,,,,,,,,,,,,,,その他の火災,たき火,晴,10,43,発令無,北北西,7,
第１方面隊中島分団,1月19日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,1,建物火災,放火,晴,2,68,発令無,西,2,
第１方面隊滝尾分団,1月28日,強風,波浪,注意報,,,,,,,,1,火元,半焼,準耐火建築物（非木造）,144,,建物火災,たばこ,晴,7,75,発令無,北西,2,0
,2月6日,乾燥,強風,低温,波浪,注意報,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,不明・調査中,晴,1,39,発令無,西,6,
第１方面隊金池分団,1月16日,,,,,,,,,,,1,火元,部分焼,耐火建築物,2,,建物火災,放火の疑い,晴,-1,68,発令無,南南東,1,
第６方面隊坂ノ市分団,1月12日,乾燥,強風,低温,波浪,注意報,,,,,,1,火元,全焼,木造建築物,161,,建物火災,こんろ,曇,5,65,発令無,西北西,6,
第６方面隊坂ノ市分団,1月23日,乾燥,低温,注意報,,,,,,,,1,火元,ぼや,その他の建築物,,,建物火災,放火の疑い,晴,0,68,発令無,南,2,
第６方面隊坂ノ市分団,1月12日,乾燥,強風,低温,波浪,注意報,,,,,,2,類焼,部分焼,木造建築物,9,,建物火災,こんろ,曇,5,65,発令無,西北西,6,
第５方面隊大在西分団,1月27日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,放火,晴,1,56,発令無,南東,1,
第５方面隊大在東分団,1月14日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,たき火,曇,5,50,発令無,北西,5,
第６方面隊丹生分団,1月19日,,,,,,,,,,,,,,,,,車両火災,その他,雨,8,85,発令無,南南西,1,
第４方面隊稙田西部分団,1月27日,乾燥,低温,,,,,,,,,,,,,,,その他の火災,不明・調査中,快晴,5,68,発令無,南南西,1,0
第７方面隊佐賀関上浦分団,1月26日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,1,建物火災,不明・調査中,晴,9,50,発令無,西南西,2,
第４方面隊東稙田分団,1月17日,乾燥,,,,,,,,,,1,火元,半焼,木造建築物,28,0,建物火災,こんろ,晴,9,46,発令無,北,2,
第１方面隊八幡分団,1月21日,乾燥,注意報,,,,,,,,,1,建物外,,,,,車両火災,不明・調査中,曇,9,66,発令無,北西,2,0
第４方面隊賀来分団,1月14日,乾燥,強風,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,16,,建物火災,たき火,晴,5,48,発令無,北西,5,
第１方面隊東大分分団,1月20日,乾燥,強風,低温,波浪,注意報,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,ストーブ,晴,5,51,発令無,西北西,5,
第１方面隊金池分団,2月2日,低温,,,,,,,,,,1,火元,半焼,耐火建築物,284,,建物火災,不明・調査中,快晴,1,80,発令無,南南東,2,
第４方面隊賀来分団,2月7日,強風,波浪,注意報,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,不明・調査中,雨,5,87,発令無,北北東,2,
第１方面隊東大分分団,1月28日,乾燥,風雪,波浪,,,,,,,,1,火元,部分焼,耐火建築物,21,0,建物火災,電気機器,晴,2,51,発令無,西,3,0
第３方面隊戸次分団,1月1日,乾燥,強風,波浪,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,3,52,発令無,西北西,3,
第３方面隊判田分団,2月7日,乾燥,強風,低温,波浪,注意報,,,,,,,,,,,,その他の火災,たき火,晴,2,64,発令無,北西,2,
第１方面隊大道分団,2月1日,強風,雷,波浪,,,,,,,,1,火元,部分焼,耐火建築物,127,,建物火災,灯火,雨,12,82,発令無,南南西,2,
第１方面隊滝尾分団,1月17日,,,,,,,,,,,1,火元,全焼,その他の建築物,146,,建物火災,不明・調査中,晴,5,66,発令無,南西,1,
第４方面隊賀来分団,1月19日,濃霧,雷,波浪,注意報,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,0,建物火災,配線器具,雨,9,98,発令無,無風状態,0,
第１方面隊金池分団,2月2日,乾燥,注意報,,,,,,,,,1,火元,半焼,木造建築物,34,,建物火災,その他,晴,5,55,発令無,南西,3,
第５方面隊大在西分団,1月18日,乾燥,,,,,,,,,,1,火元,ぼや,その他の建築物,1,,建物火災,溶接機・切断機,晴,11,55,発令無,北,3,
第４方面隊東稙田分団,1月27日,乾燥,,,,,,,,,,1,類焼,部分焼,耐火建築物,,12,車両火災,電灯・電話等の配線,曇,0,67,発令無,南東,1,
第１方面隊滝尾分団,1月17日,,,,,,,,,,,2,類焼,全焼,その他の建築物,202,,建物火災,不明・調査中,晴,5,66,発令無,南西,1,
第１方面隊滝尾分団,1月17日,,,,,,,,,,,3,類焼,ぼや,耐火建築物,,1,建物火災,不明・調査中,晴,5,66,発令無,南西,1,
第４方面隊東稙田分団,1月25日,乾燥,強風,波浪,,,,,,,,,,,,,,その他の火災,放火,晴,4,53,発令無,南西,2,
第４方面隊稙田東部分団,1月26日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,曇,8,61,発令無,西北西,2,
第３方面隊吉野分団,2月17日,乾燥,強風,低温,波浪,注意報,,,,,,,,,,,,その他の火災,火あそび,晴,9,36,発令無,北北西,3,
第１方面隊中島分団,2月12日,強風,波浪,,,,,,,,,,,,,,,その他の火災,火あそび,晴,6,50,発令無,北北東,2,
第１方面隊日岡分団,1月31日,,,,,,,,,,,1,火元,ぼや,木造建築物,,1,建物火災,こんろ,晴,10,57,発令無,北西,5,
第１方面隊南大分分団,2月2日,乾燥,,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,ストーブ,晴,3,68,発令無,南,2,
第４方面隊稙田東部分団,2月2日,強風,雷,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,44,,建物火災,火あそび,雨,11,69,発令無,北西,1,
第１方面隊大道分団,1月26日,乾燥,強風,波浪,注意報,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,放火,晴,4,52,発令無,西北西,4,
第１方面隊金池分団,2月17日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,放火,雨,9,56,発令無,無風状態,0,
第１方面隊大道分団,1月18日,,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,37,0,建物火災,ストーブ,晴,2,93,発令無,南南東,1,
第１方面隊大道分団,1月18日,,,,,,,,,,,2,類焼,部分焼,木造建築物,0,15,建物火災,ストーブ,晴,2,93,発令無,南南東,1,
第２方面隊高田分団,1月18日,乾燥,,,,,,,,,,,,,,,,その他の火災,火あそび,快晴,11,52,発令無,北,2,
第２方面隊高田分団,2月5日,,,,,,,,,,,,,,,,,車両火災,その他,晴,10,59,発令無,北東,3,0
第１方面隊八幡分団,1月30日,乾燥,強風,低温,波浪,,,,,,,,,,,,,林野火災,たき火,晴,7,39,発令無,北北西,3,
第２方面隊高田分団,2月22日,乾燥,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,8,53,発令無,北北西,0,
第１方面隊滝尾分団,2月6日,,,,,,,,,,,1,火元,ぼや,その他の建築物,,,建物火災,こんろ,晴,5,71,発令無,西南西,1,
第１方面隊金池分団,2月16日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,放火,雨,8,59,発令無,無風状態,0,
第４方面隊東稙田分団,1月31日,乾燥,強風,低温,波浪,,,,,,,1,火元,部分焼,耐火建築物,2,,建物火災,不明・調査中,晴,1,63,発令無,南,2,
第５方面隊大在西分団,2月2日,乾燥,,,,,,,,,,1,火元,半焼,木造建築物,120,,建物火災,風呂かまど,雨,8,40,発令無,西北西,0,0
第３方面隊吉野分団,1月18日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,11,57,発令無,北,2,
第４方面隊賀来分団,2月6日,,,,,,,,,,,,,,,,,車両火災,その他,晴,8,72,発令無,東南東,1,
第２方面隊明治分団,1月18日,,,,,,,,,,,,,,,,,その他の火災,放火,曇,10,71,発令無,北西,1,
第６方面隊坂ノ市分団,1月27日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,たばこ,晴,5,42,発令無,北西,4,
第１方面隊中島分団,2月13日,強風,波浪,注意報,,,,,,,,,,,,,,車両火災,不明・調査中,晴,4,56,発令無,北西,6,
第４方面隊賀来分団,2月24日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,たき火,晴,11,32,発令無,南東,1,
第４方面隊東稙田分団,2月6日,,,,,,,,,,,1,火元,部分焼,耐火建築物,3,,建物火災,不明・調査中,晴,7,69,発令無,南南東,1,
,1月19日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,晴,10,82,発令無,西北西,1,0
